No,レベル,項目名,宣言,桁数
1,1,SYS-5001-REC,GF,0
2,3,SYS-5001-KEY,GF,0
3,5,SYS-5001-HOSPNUM,9(2),2
4,5,SYS-5001-KANRICD,X(04),4
5,5,SYS-5001-KBNCD,X(08),8
6,5,SYS-5001-STYUKYMD,X(08),8
7,5,SYS-5001-EDYUKYMD,X(08),8
8,3,SYS-5001-TBL,GF,0
9,5,SYS-5001-BTU-NUM,X(02),2
10,5,SYS-5001-BTU-NAME,X(20),20
11,5,SYS-5001-BTU-TANNAME,X(10),10
12,5,SYS-5001-BTU-TOKTEI-NYUIN,X(02),2
13,5,SYS-5001-BTU-KA,X(02),2
14,5,SYS-5001-BTU-SBT,X(02),2
15,5,SYS-5001-BTU-NINZU,9(03),3
16,5,SYS-5001-BTU-HEIKINZAIKBN,X(02),2
17,5,SYS-5001-BTU-KNGHAICHIKBN,X(02),2
18,5,SYS-5001-BTU-KNGHIRITUKBN,X(02),2
19,5,SYS-5001-BTU-KNGHJOHAI,X(02),2
20,5,SYS-5001-BTU-KNGHJOKSN,X(02),2
21,5,SYS-5001-BTU-YAKANKNGKSN,X(02),2
22,5,SYS-5001-BTU-SYOKUDOKBN,X(01),1
23,5,SYS-5001-BTU-KNGSISUKBN,X(01),1
24,5,SYS-5001-BTU-HIKSISUKBN,X(01),1
25,5,SYS-5001-BTU-KHNSRYCD,X(09),9
26,5,SYS-5001-BTU-KSNSRYCD,X(09),9
27,5,SYS-5001-BTU-GENSRYCD,X(09),9
28,5,SYS-5001-BTU-EDKBN,X(01),1
29,5,SYS-5001-KSNAREA,GF,0
30,7,SYS-5001-NANBYO,GF,0
31,9,SYS-5001-NANBYO-CD,X(09),9
32,9,SYS-5001-NANBYO-KBN,X(01),1
33,7,SYS-5001-TOKUSYU,GF,0
34,9,SYS-5001-TOKUSYU-CD,X(09),9
35,9,SYS-5001-TOKUSYU-KBN,X(01),1
36,7,SYS-5001-YORYO,GF,0
37,9,SYS-5001-YORYO-CD,X(09),9
38,9,SYS-5001-YORYO-KBN,X(01),1
39,7,SYS-5001-YORYO,GF,0
40,9,SYS-5001-YORYO-CD,X(09),9
41,9,SYS-5001-YORYO-KBN,X(01),1
42,7,SYS-5001-YORYO,GF,0
43,9,SYS-5001-YORYO-CD,X(09),9
44,9,SYS-5001-YORYO-KBN,X(01),1
45,7,SYS-5001-JIDO,GF,0
