No,レベル,項目名,宣言,桁数
46,9,SYS-5001-JIDO-CD,X(09),9
47,9,SYS-5001-JIDO-KBN,X(01),1
48,7,SYS-5001-SEISIN,GF,0
49,9,SYS-5001-SEISIN-CD,X(09),9
50,9,SYS-5001-SEISIN-KBN,X(01),1
51,7,SYS-5001-KANGO,GF,0
52,9,SYS-5001-KANGO-CD,X(09),9
53,9,SYS-5001-KANGO-KBN,X(01),1
54,7,SYS-5001-KANGO,GF,0
55,9,SYS-5001-KANGO-CD,X(09),9
56,9,SYS-5001-KANGO-KBN,X(01),1
57,7,SYS-5001-KANGO,GF,0
58,9,SYS-5001-KANGO-CD,X(09),9
59,9,SYS-5001-KANGO-KBN,X(01),1
60,7,SYS-5001-KANGO,GF,0
61,9,SYS-5001-KANGO-CD,X(09),9
62,9,SYS-5001-KANGO-KBN,X(01),1
63,7,SYS-5001-KANGO,GF,0
64,9,SYS-5001-KANGO-CD,X(09),9
65,9,SYS-5001-KANGO-KBN,X(01),1
66,7,SYS-5001-KNGTEK,GF,0
67,9,SYS-5001-KNGTEK-CD,X(09),9
68,9,SYS-5001-KNGTEK-KBN,X(01),1
69,7,SYS-5001-DRTEK,GF,0
70,9,SYS-5001-DRTEK-CD,X(09),9
71,9,SYS-5001-DRTEK-KBN,X(01),1
72,5,SYS-5001-KSNTBLR,GF,0
73,7,SYS-5001-KSN,GF,0
74,9,SYS-5001-KSNCD,X(09),9
75,9,SYS-5001-KSNKBN,X(01),1
76,7,SYS-5001-KSN,GF,0
77,9,SYS-5001-KSNCD,X(09),9
78,9,SYS-5001-KSNKBN,X(01),1
79,7,SYS-5001-KSN,GF,0
80,9,SYS-5001-KSNCD,X(09),9
81,9,SYS-5001-KSNKBN,X(01),1
82,7,SYS-5001-KSN,GF,0
83,9,SYS-5001-KSNCD,X(09),9
84,9,SYS-5001-KSNKBN,X(01),1
85,7,SYS-5001-KSN,GF,0
86,9,SYS-5001-KSNCD,X(09),9
87,9,SYS-5001-KSNKBN,X(01),1
88,7,SYS-5001-KSN,GF,0
89,9,SYS-5001-KSNCD,X(09),9
90,9,SYS-5001-KSNKBN,X(01),1
91,7,SYS-5001-KSN,GF,0
92,9,SYS-5001-KSNCD,X(09),9
93,9,SYS-5001-KSNKBN,X(01),1
94,7,SYS-5001-KSN,GF,0
95,9,SYS-5001-KSNCD,X(09),9
96,9,SYS-5001-KSNKBN,X(01),1
97,7,SYS-5001-KSN,GF,0
98,9,SYS-5001-KSNCD,X(09),9
99,9,SYS-5001-KSNKBN,X(01),1
100,7,SYS-5001-KSN,GF,0
101,9,SYS-5001-KSNCD,X(09),9
102,9,SYS-5001-KSNKBN,X(01),1
103,7,SYS-5001-KSN,GF,0
104,9,SYS-5001-KSNCD,X(09),9
105,9,SYS-5001-KSNKBN,X(01),1
106,7,SYS-5001-KSN,GF,0
107,9,SYS-5001-KSNCD,X(09),9
108,9,SYS-5001-KSNKBN,X(01),1
109,7,SYS-5001-KSN,GF,0
110,9,SYS-5001-KSNCD,X(09),9
111,9,SYS-5001-KSNKBN,X(01),1
112,7,SYS-5001-KSN,GF,0
113,9,SYS-5001-KSNCD,X(09),9
114,9,SYS-5001-KSNKBN,X(01),1
115,5,SYS-5001-KSN2,GF,0
116,9,SYS-5001-KSNCD2,X(09),9
117,9,SYS-5001-KSNCD2,X(09),9
118,9,SYS-5001-KSNCD2,X(09),9
119,9,SYS-5001-KSNCD2,X(09),9
120,9,SYS-5001-KSNCD2,X(09),9
121,9,SYS-5001-KSNCD2,X(09),9
122,9,SYS-5001-KSNCD2,X(09),9
123,9,SYS-5001-KSNCD2,X(09),9
124,9,SYS-5001-KSNCD2,X(09),9
125,9,SYS-5001-KSNCD2,X(09),9
126,5,SYS-5001-YOBI,X(153),153
127,5,SYS-5001-CRYOYOKBN,X(01),1
128,5,SYS-5001-HRYOYOKBN,X(01),1
129,5,SYS-5001-KHNSRYCD,X(09),9
130,5,SYS-5001-KHNKBNCD,X(03),3
131,5,SYS-5001-SENTEI-IPN-KINGAKU-X,X(04),4
132,5,SYS-5001-SENTEI-IPN-KINGAKU-R,GF,0
133,7,SYS-5001-SENTEI-IPN-KINGAKU,9(04),4
134,5,SYS-5001-SENTEI-RJN-KINGAKU-X,X(04),4
135,5,SYS-5001-SENTEI-RJN-KINGAKU-R,GF,0
136,7,SYS-5001-SENTEI-RJN-KINGAKU,9(04),4
137,5,SYS-5001-BTU-ISISUKBN,X(01),1
138,5,SYS-5001-SENTEI-FTNKBN,X(01),1
139,5,SYS-5001-SENTEI-TAXKBN,X(01),1
140,5,SYS-5001-SENTEI-TANKA-X,X(02),2
141,5,SYS-5001-SENTEI-TANKA-R,GF,0
142,7,SYS-5001-SENTEI-TANKA,9(02),2
143,5,SYS-5001-SENTEI-KINGAKU-X,X(04),4
144,5,SYS-5001-SENTEI-KINGAKU-R,GF,0
145,7,SYS-5001-SENTEI-KINGAKU,9(04),4
146,5,SYS-5001-RECEDSPKBN,X(02),2
147,3,SYS-5001-TERMID,X(16),16
148,3,SYS-5001-OPID,X(16),16
149,3,SYS-5001-CREYMD,X(08),8
150,3,SYS-5001-UPYMD,X(08),8
151,3,SYS-5001-UPHMS,X(06),6
152,3,SYS-5001-UPD-KEY,GF,0
153,5,SYS-5001-UPD-HOSPNUM,9(2),2
154,5,SYS-5001-UPD-KANRICD,X(04),4
155,5,SYS-5001-UPD-KBNCD,X(08),8
156,5,SYS-5001-UPD-STYUKYMD,X(08),8
157,5,SYS-5001-UPD-EDYUKYMD,X(08),8
