No,レベル,項目名,宣言,桁数
1,1,SYS-5000-REC,GF,0
2,3,SYS-5000-KEY,GF,0
3,5,SYS-5000-HOSPNUM,9(2),2
4,5,SYS-5000-KANRICD,X(04),4
5,5,SYS-5000-KBNCD,X(08),8
6,5,SYS-5000-STYUKYMD,X(08),8
7,5,SYS-5000-EDYUKYMD,X(08),8
8,3,SYS-5000-TBL,GF,0
9,5,SYS-5000-SHOKUJIRYOYOCD,X(09),9
10,5,SYS-5000-SHOKU-INF,GF,0
11,7,SYS-5000-SHOKUCD,X(09),9
12,7,SYS-5000-SHOKUKBN,X(01),1
13,5,SYS-5000-SHOKU-INF,GF,0
14,7,SYS-5000-SHOKUCD,X(09),9
15,7,SYS-5000-SHOKUKBN,X(01),1
16,5,SYS-5000-SHOKU-INF,GF,0
17,7,SYS-5000-SHOKUCD,X(09),9
18,7,SYS-5000-SHOKUKBN,X(01),1
19,5,SYS-5000-SHOKU-INF,GF,0
20,7,SYS-5000-SHOKUCD,X(09),9
21,7,SYS-5000-SHOKUKBN,X(01),1
22,5,SYS-5000-SHOKU-INF,GF,0
23,7,SYS-5000-SHOKUCD,X(09),9
24,7,SYS-5000-SHOKUKBN,X(01),1
25,5,SYS-5000-GEN-INF,GF,0
26,7,SYS-5000-GENCD,X(09),9
27,7,SYS-5000-GENKBN,X(01),1
28,5,SYS-5000-GEN-INF,GF,0
29,7,SYS-5000-GENCD,X(09),9
30,7,SYS-5000-GENKBN,X(01),1
31,5,SYS-5000-GEN-INF,GF,0
32,7,SYS-5000-GENCD,X(09),9
33,7,SYS-5000-GENKBN,X(01),1
34,5,SYS-5000-GEN-INF,GF,0
35,7,SYS-5000-GENCD,X(09),9
36,7,SYS-5000-GENKBN,X(01),1
37,5,SYS-5000-GEN-INF,GF,0
38,7,SYS-5000-GENCD,X(09),9
39,7,SYS-5000-GENKBN,X(01),1
40,5,SYS-5000-KSN-INF,GF,0
41,7,SYS-5000-KSNCD,X(09),9
42,7,SYS-5000-KSNKBN,X(01),1
43,5,SYS-5000-KSN-INF,GF,0
44,7,SYS-5000-KSNCD,X(09),9
45,7,SYS-5000-KSNKBN,X(01),1
46,5,SYS-5000-KSN-INF,GF,0
47,7,SYS-5000-KSNCD,X(09),9
48,7,SYS-5000-KSNKBN,X(01),1
49,5,SYS-5000-KSN-INF,GF,0
50,7,SYS-5000-KSNCD,X(09),9
51,7,SYS-5000-KSNKBN,X(01),1
52,5,SYS-5000-KSN-INF,GF,0
53,7,SYS-5000-KSNCD,X(09),9
54,7,SYS-5000-KSNKBN,X(01),1
55,5,SYS-5000-KSN-INF,GF,0
56,7,SYS-5000-KSNCD,X(09),9
57,7,SYS-5000-KSNKBN,X(01),1
58,5,SYS-5000-KSN-INF,GF,0
59,7,SYS-5000-KSNCD,X(09),9
60,7,SYS-5000-KSNKBN,X(01),1
61,5,SYS-5000-KSN-INF,GF,0
62,7,SYS-5000-KSNCD,X(09),9
63,7,SYS-5000-KSNKBN,X(01),1
64,5,SYS-5000-KSN-INF,GF,0
65,7,SYS-5000-KSNCD,X(09),9
66,7,SYS-5000-KSNKBN,X(01),1
67,5,SYS-5000-KSN-INF,GF,0
68,7,SYS-5000-KSNCD,X(09),9
69,7,SYS-5000-KSNKBN,X(01),1
70,5,SYS-5000-KSN-INF,GF,0
71,7,SYS-5000-KSNCD,X(09),9
72,7,SYS-5000-KSNKBN,X(01),1
73,5,SYS-5000-KSN-INF,GF,0
74,7,SYS-5000-KSNCD,X(09),9
75,7,SYS-5000-KSNKBN,X(01),1
76,5,SYS-5000-KSN-INF,GF,0
77,7,SYS-5000-KSNCD,X(09),9
78,7,SYS-5000-KSNKBN,X(01),1
79,5,SYS-5000-KSN-INF,GF,0
80,7,SYS-5000-KSNCD,X(09),9
81,7,SYS-5000-KSNKBN,X(01),1
82,5,SYS-5000-KSN-INF,GF,0
83,7,SYS-5000-KSNCD,X(09),9
84,7,SYS-5000-KSNKBN,X(01),1
85,5,SYS-5000-KSN-INF,GF,0
86,7,SYS-5000-KSNCD,X(09),9
87,7,SYS-5000-KSNKBN,X(01),1
88,5,SYS-5000-KSN-INF,GF,0
89,7,SYS-5000-KSNCD,X(09),9
90,7,SYS-5000-KSNKBN,X(01),1
91,5,SYS-5000-KSN-INF,GF,0
92,7,SYS-5000-KSNCD,X(09),9
93,7,SYS-5000-KSNKBN,X(01),1
94,5,SYS-5000-KSN-INF,GF,0
95,7,SYS-5000-KSNCD,X(09),9
96,7,SYS-5000-KSNKBN,X(01),1
97,5,SYS-5000-KSN-INF,GF,0
98,7,SYS-5000-KSNCD,X(09),9
99,7,SYS-5000-KSNKBN,X(01),1
100,5,SYS-5000-CHIIKIKSN,X(09),9
101,5,SYS-5000-GENSAN-INF,GF,0
102,7,SYS-5000-DSPCD,X(09),9
103,5,SYS-5000-GENSAN-INF,GF,0
104,7,SYS-5000-DSPCD,X(09),9
105,5,SYS-5000-GENSAN-INF,GF,0
106,7,SYS-5000-DSPCD,X(09),9
107,5,SYS-5000-GENSAN-INF,GF,0
108,7,SYS-5000-DSPCD,X(09),9
109,5,SYS-5000-GENSAN-INF,GF,0
110,7,SYS-5000-DSPCD,X(09),9
111,5,SYS-5000-GENSAN-INF,GF,0
112,7,SYS-5000-DSPCD,X(09),9
113,5,SYS-5000-GENSAN-INF,GF,0
114,7,SYS-5000-DSPCD,X(09),9
115,5,SYS-5000-GENSAN-INF,GF,0
116,7,SYS-5000-DSPCD,X(09),9
117,5,SYS-5000-GENSAN-INF,GF,0
118,7,SYS-5000-DSPCD,X(09),9
119,5,SYS-5000-GENSAN-INF,GF,0
120,7,SYS-5000-DSPCD,X(09),9
121,5,SYS-5000-IPPANKSNKBN,X(01),1
122,5,SYS-5000-EIYOUKSNKBN,X(01),1
123,5,SYS-5000-KYUKYUKSNKBN,X(01),1
124,5,SYS-5000-YOBI,X(53),53
125,5,SYS-5000-SKJKBN,X(01),1
126,5,SYS-5000-SENTEIKBN,X(01),1
127,5,SYS-5000-SKYSUMKBN,X(01),1
128,5,SYS-5000-SHOHOUKBN,X(01),1
129,5,SYS-5000-REKI-DISPKBN,X(01),1
130,5,SYS-5000-SKYPRTKBN,X(01),1
131,5,SYS-5000-TAIPRTKBN,X(01),1
132,5,SYS-5000-SRYPRTKBN,X(01),1
133,5,SYS-5000-TAIKSIKBN,X(01),1
134,5,SYS-5000-SAIKEISANKBN,X(01),1
135,5,SYS-5000-SKYMISYUPRTKBN,X(01),1
136,5,SYS-5000-SENTEI-FTNKBN,X(01),1
137,5,SYS-5000-SENTEI-TAXKBN,X(01),1
138,5,SYS-5000-SENTEI-TANKA-X,X(02),2
139,5,SYS-5000-SENTEI-TANKA-R,GF,0
140,7,SYS-5000-SENTEI-TANKA,9(02),2
141,5,SYS-5000-SENTEI-KINGAKU-X,X(04),4
142,5,SYS-5000-SENTEI-KINGAKU-R,GF,0
143,7,SYS-5000-SENTEI-KINGAKU,9(04),4
144,5,SYS-5000-BRMSGK-TAXKBN,X(01),1
145,5,SYS-5000-NACCT-BRMSGKKBN,X(01),1
146,5,SYS-5000-SENTEI-IPN-KINGAKU-X,X(04),4
147,5,SYS-5000-SENTEI-IPN-KINGAKU-R,GF,0
148,7,SYS-5000-SENTEI-IPN-KINGAKU,9(04),4
149,5,SYS-5000-SENTEI-RJN-KINGAKU-X,X(04),4
150,5,SYS-5000-SENTEI-RJN-KINGAKU-R,GF,0
151,7,SYS-5000-SENTEI-RJN-KINGAKU,9(04),4
152,5,SYS-5000-NACCT-GAIHAKUKBN,X(01),1
153,5,SYS-5000-HYOUKETUKBN,X(01),1
154,5,SYS-5000-TEISUKBN,X(01),1
155,5,SYS-5000-ADLINPUTKBN,X(01),1
156,5,SYS-5000-TEIKISAGAKUACTKBN,X(01),1
157,5,SYS-5000-NYKNKNRKBN,X(01),1
158,5,SYS-5000-RYOYODSPKBN,X(01),1
159,3,SYS-5000-TERMID,X(16),16
160,3,SYS-5000-OPID,X(16),16
161,3,SYS-5000-CREYMD,X(08),8
162,3,SYS-5000-UPYMD,X(08),8
163,3,SYS-5000-UPHMS,X(06),6
164,3,SYS-5000-UPD-KEY,GF,0
165,5,SYS-5000-UPD-HOSPNUM,9(2),2
166,5,SYS-5000-UPD-KANRICD,X(04),4
167,5,SYS-5000-UPD-KBNCD,X(08),8
168,5,SYS-5000-UPD-STYUKYMD,X(08),8
169,5,SYS-5000-UPD-EDYUKYMD,X(08),8
