No,レベル,項目名,宣言,桁数
1,1,SYS-1010-REC,GF,0
2,3,SYS-1010-KEY,GF,0
3,5,SYS-1010-HOSPNUM,9(2),2
4,5,SYS-1010-KANRICD,X(04),4
5,5,SYS-1010-KBNCD,X(08),8
6,5,SYS-1010-STYUKYMD,X(08),8
7,5,SYS-1010-EDYUKYMD,X(08),8
8,3,SYS-1010-TBL,GF,0
9,5,SYS-1010-USERID,X(16),16
10,5,SYS-1010-KANANAME,X(80),80
11,5,SYS-1010-NAME,X(80),80
12,5,SYS-1010-ISEKINUM,X(08),8
13,5,SYS-1010-HKNDRNUMS,X(08),8
14,5,SYS-1010-HKNDRNUMK,X(12),12
15,5,SYS-1010-SEMONKACD,GF,0
16,7,SYS-1010-SEMONKACD-X,X(02),2
17,5,SYS-1010-SEMONKACD,GF,0
18,7,SYS-1010-SEMONKACD-X,X(02),2
19,5,SYS-1010-SEMONKACD,GF,0
20,7,SYS-1010-SEMONKACD-X,X(02),2
21,5,SYS-1010-SEMONKACD,GF,0
22,7,SYS-1010-SEMONKACD-X,X(02),2
23,5,SYS-1010-SEMONKACD,GF,0
24,7,SYS-1010-SEMONKACD-X,X(02),2
25,5,SYS-1010-GSRAUTH,X(70),70
26,5,SYS-1010-KANRIAUTHFLG,X(01),1
27,5,SYS-1010-MAYAKULICENSE,X(40),40
28,5,SYS-1010-ORCA21FLG,X(01),1
29,5,SYS-1010-SKYPRTFLG,X(01),1
30,5,SYS-1010-SYOHOPRTFLG,X(01),1
31,5,SYS-1010-YAKUJYOPRTFLG,X(01),1
32,5,SYS-1010-MEIPRTFLG,X(01),1
33,5,SYS-1010-FORMALFLG,X(01),1
34,5,SYS-1010-CLIENT-SAVE,X(01),1
35,5,SYS-1010-GRPHOSPINF-G,GF,0
36,7,SYS-1010-GRPHOSPINF,GF,0
37,9,SYS-1010-GRPHOSPNUMX,X(02),2
38,9,SYS-1010-GRPHOSPNUM,9(02),2
39,9,SYS-1010-GRPHOSPUSERID,X(16),16
40,7,SYS-1010-GRPHOSPINF,GF,0
41,9,SYS-1010-GRPHOSPNUMX,X(02),2
42,9,SYS-1010-GRPHOSPNUM,9(02),2
43,9,SYS-1010-GRPHOSPUSERID,X(16),16
44,7,SYS-1010-GRPHOSPINF,GF,0
45,9,SYS-1010-GRPHOSPNUMX,X(02),2
46,9,SYS-1010-GRPHOSPNUM,9(02),2
47,9,SYS-1010-GRPHOSPUSERID,X(16),16
48,7,SYS-1010-GRPHOSPINF,GF,0
49,9,SYS-1010-GRPHOSPNUMX,X(02),2
50,9,SYS-1010-GRPHOSPNUM,9(02),2
51,9,SYS-1010-GRPHOSPUSERID,X(16),16
52,7,SYS-1010-GRPHOSPINF,GF,0
53,9,SYS-1010-GRPHOSPNUMX,X(02),2
54,9,SYS-1010-GRPHOSPNUM,9(02),2
55,9,SYS-1010-GRPHOSPUSERID,X(16),16
56,7,SYS-1010-GRPHOSPINF,GF,0
57,9,SYS-1010-GRPHOSPNUMX,X(02),2
58,9,SYS-1010-GRPHOSPNUM,9(02),2
59,9,SYS-1010-GRPHOSPUSERID,X(16),16
60,7,SYS-1010-GRPHOSPINF,GF,0
61,9,SYS-1010-GRPHOSPNUMX,X(02),2
62,9,SYS-1010-GRPHOSPNUM,9(02),2
63,9,SYS-1010-GRPHOSPUSERID,X(16),16
64,7,SYS-1010-GRPHOSPINF,GF,0
65,9,SYS-1010-GRPHOSPNUMX,X(02),2
66,9,SYS-1010-GRPHOSPNUM,9(02),2
67,9,SYS-1010-GRPHOSPUSERID,X(16),16
68,7,SYS-1010-GRPHOSPINF,GF,0
69,9,SYS-1010-GRPHOSPNUMX,X(02),2
70,9,SYS-1010-GRPHOSPNUM,9(02),2
71,9,SYS-1010-GRPHOSPUSERID,X(16),16
72,5,SYS-1010-USER-KANRI,X(01),1
73,5,SYS-1010-CLIENT-PRT,X(01),1
74,5,SYS-1010-DIALOGFLG,X(01),1
75,3,SYS-1010-YOBI,X(03),3
76,3,SYS-1010-TERMID,X(16),16
77,3,SYS-1010-OPID,X(16),16
78,3,SYS-1010-CREYMD,X(08),8
79,3,SYS-1010-UPYMD,X(08),8
80,3,SYS-1010-UPHMS,X(06),6
81,3,SYS-1010-UPD-KEY,GF,0
82,5,SYS-1010-UPD-HOSPNUM,9(2),2
83,5,SYS-1010-UPD-KANRICD,X(04),4
84,5,SYS-1010-UPD-KBNCD,X(08),8
85,5,SYS-1010-UPD-STYUKYMD,X(08),8
86,5,SYS-1010-UPD-EDYUKYMD,X(08),8
