No,レベル,項目名,宣言,桁数
1,1,SYS-1001-REC,GF,0
2,3,SYS-1001-KEY,GF,0
3,5,SYS-1001-HOSPNUM,9(2),2
4,5,SYS-1001-KANRICD,X(04),4
5,5,SYS-1001-KBNCD,X(08),8
6,5,SYS-1001-STYUKYMD,X(08),8
7,5,SYS-1001-EDYUKYMD,X(08),8
8,3,SYS-1001-TBL,GF,0
9,5,SYS-1001-PREFNUM,9(02),2
10,5,SYS-1001-TENHYOKBN,9(01),1
11,5,SYS-1001-HOSPCD,9(07),7
12,5,SYS-1001-HOSPSBT,9(01),1
13,5,SYS-1001-HOSPID,X(24),24
14,5,SYS-1001-HOSPNAME,X(120),120
15,5,SYS-1001-KAISETUNAME,X(120),120
16,5,SYS-1001-KANRINAME,X(80),80
17,5,SYS-1001-BEDSU,9(04),4
18,5,SYS-1001-ROUPAYKBN,X(01),1
19,5,SYS-1001-HOSPSBT1,9(01),1
20,5,SYS-1001-HOSPCDN,X(40),40
21,5,SYS-1001-SYOHOKBN,X(01),1
22,5,SYS-1001-SKYPRTFLG,X(01),1
23,5,SYS-1001-SYOHOPRTFLG,X(01),1
24,5,SYS-1001-ZENSYOHOFLG,X(01),1
25,5,SYS-1001-YAKUJYOPRTFLG,X(01),1
26,5,SYS-1001-BEDSUIPN,9(04),4
27,5,SYS-1001-DISCOUNT-HASU-KBN,X(01),1
28,5,SYS-1001-TAX-HASU-KBN,X(01),1
29,5,SYS-1001-DISCOUNT-HASU-KBN2,X(01),1
30,5,SYS-1001-HIWARIKBN,X(01),1
31,5,SYS-1001-DATACREATEFLG,X(01),1
32,5,SYS-1001-DATATEISYUTUKBN,X(01),1
33,5,SYS-1001-JIHIPOSITION,X(01),1
34,5,SYS-1001-MEIPRTFLG,X(01),1
35,5,SYS-1001-CHIHOUNUMKBN,X(01),1
36,5,SYS-1001-GENTAIKBN,X(01),1
37,5,SYS-1001-OKUSURIPRTFLG,X(01),1
38,5,SYS-1001-YYKHYOPRTFLG,X(01),1
39,5,SYS-1001-TANHOSPNAME,X(20),20
40,5,SYS-1001-DISCOUNT-HASU-KBN2J,X(01),1
41,5,SYS-1001-DISCOUNT-HASU-KBN3,X(01),1
42,5,SYS-1001-DISCOUNT-HASU-KBN3J,X(01),1
43,5,SYS-1001-DISCOUNT-HASU-KBN4,X(01),1
44,5,SYS-1001-DISCOUNT-HASU-KBN4J,X(01),1
45,5,SYS-1001-DISCOUNT-HASU-KBN5J,X(01),1
46,5,SYS-1001-SANKANUM,9(10),10
47,5,SYS-1001-DATAINFECTIONKBN,X(01),1
48,3,SYS-1001-YOBI,X(41),41
49,3,SYS-1001-TERMID,X(16),16
50,3,SYS-1001-OPID,X(16),16
51,3,SYS-1001-CREYMD,X(08),8
52,3,SYS-1001-UPYMD,X(08),8
53,3,SYS-1001-UPHMS,X(06),6
54,3,SYS-1001-UPD-KEY,GF,0
55,5,SYS-1001-UPD-HOSPNUM,9(2),2
56,5,SYS-1001-UPD-KANRICD,X(04),4
57,5,SYS-1001-UPD-KBNCD,X(08),8
58,5,SYS-1001-UPD-STYUKYMD,X(08),8
59,5,SYS-1001-UPD-EDYUKYMD,X(08),8
